Legal, FID="AVoVS18aD7fSCihG" UGFLinkReference="iNrElegal",AVoVS18aD7fSCihG,iNrElegal,,,10,iNrElegal,
Terms of Use, FID="AWFdI8cTvLxCygcP" UGFLinkReference="sEsE2" FIDparent="AVoVS18aD7fSCihG" UGFparent="iNrElegal",AWFdI8cTvLxCygcP,sEsE2,AVoVS18aD7fSCihG,iNrElegal,5,sEsE,2
Open Game Content License, FID="Av3GOM0TXJKPUlaT" UGFLinkReference="sEsE3" FIDparent="AVoVS18aD7fSCihG" UGFparent="iNrElegal",Av3GOM0TXJKPUlaT,sEsE3,AVoVS18aD7fSCihG,iNrElegal,5,sEsE,3
GNU Free Documentation License, FID="C0j363XAyizTp2mW" UGFLinkReference="sEsE4" FIDparent="AVoVS18aD7fSCihG" UGFparent="iNrElegal",C0j363XAyizTp2mW,sEsE4,AVoVS18aD7fSCihG,iNrElegal,5,sEsE,4
Schedule 1, FID="AdOf8zxcL9mfKk2W" UGFLinkReference="sE2sE1" FIDparent="AVoVS18aD7fSCihG" UGFparent="iNrElegal",AdOf8zxcL9mfKk2W,sE2sE1,AVoVS18aD7fSCihG,iNrElegal,3,sE,2sE1
Schedule 2, FID="AmezMnyHmFXsuISo" UGFLinkReference="sE2sE2" FIDparent="AVoVS18aD7fSCihG" UGFparent="iNrElegal",AmezMnyHmFXsuISo,sE2sE2,AVoVS18aD7fSCihG,iNrElegal,3,sE,2sE2
Schedule 3, FID="AnEK6BQBhYGCnMX8" UGFLinkReference="sE2sE3" FIDparent="AVoVS18aD7fSCihG" UGFparent="iNrElegal",AnEK6BQBhYGCnMX8,sE2sE3,AVoVS18aD7fSCihG,iNrElegal,3,sE,2sE3
GNU GENERAL PUBLIC LICENSE, FID="Ats2yZzkziOGcEjB" UGFLinkReference="sE2sE4" FIDparent="AVoVS18aD7fSCihG" UGFparent="iNrElegal",Ats2yZzkziOGcEjB,sE2sE4,AVoVS18aD7fSCihG,iNrElegal,3,sE,2sE4
OPEN GAME LICENSE Version 1.0a, FID="AvrKiY2h4jw1Prnm" UGFLinkReference="sE2sE136" FIDparent="AVoVS18aD7fSCihG" UGFparent="iNrElegal",AvrKiY2h4jw1Prnm,sE2sE136,AVoVS18aD7fSCihG,iNrElegal,3,sE,2sE136
1. Definitions:, FID="B57ZGDnctYYj5ugd" UGFLinkReference="sE3sE136" FIDparent="AVoVS18aD7fSCihG" UGFparent="iNrElegal",B57ZGDnctYYj5ugd,sE3sE136,AVoVS18aD7fSCihG,iNrElegal,3,sE,3sE136
2. The License:, FID="B7ZvON3yUqN6416v" UGFLinkReference="sE3sE137" FIDparent="AVoVS18aD7fSCihG" UGFparent="iNrElegal",B7ZvON3yUqN6416v,sE3sE137,AVoVS18aD7fSCihG,iNrElegal,3,sE,3sE137
3. Offer and Acceptance:, FID="B9ut9PdtCXDQKsMx" UGFLinkReference="sE3sE138" FIDparent="AVoVS18aD7fSCihG" UGFparent="iNrElegal",B9ut9PdtCXDQKsMx,sE3sE138,AVoVS18aD7fSCihG,iNrElegal,3,sE,3sE138
4. Grant and Consideration:, FID="BAP5MAXMIg4N0j4V" UGFLinkReference="sE3sE139" FIDparent="AVoVS18aD7fSCihG" UGFparent="iNrElegal",BAP5MAXMIg4N0j4V,sE3sE139,AVoVS18aD7fSCihG,iNrElegal,3,sE,3sE139
5. Representation of Authority to Contribute:, FID="BBS6W8sLYQFEbbht" UGFLinkReference="sE3sE140" FIDparent="AVoVS18aD7fSCihG" UGFparent="iNrElegal",BBS6W8sLYQFEbbht,sE3sE140,AVoVS18aD7fSCihG,iNrElegal,3,sE,3sE140
6. Notice of License Copyright:, FID="BH7AAkpSMLWy1Wb3" UGFLinkReference="sE3sE141" FIDparent="AVoVS18aD7fSCihG" UGFparent="iNrElegal",BH7AAkpSMLWy1Wb3,sE3sE141,AVoVS18aD7fSCihG,iNrElegal,3,sE,3sE141
7. Use of Product Identity:, FID="Bd3wLEV51mlcGGac" UGFLinkReference="sE3sE142" FIDparent="AVoVS18aD7fSCihG" UGFparent="iNrElegal",Bd3wLEV51mlcGGac,sE3sE142,AVoVS18aD7fSCihG,iNrElegal,3,sE,3sE142
8. Identification:, FID="BhLd2tAAtuujYgL8" UGFLinkReference="sE3sE143" FIDparent="AVoVS18aD7fSCihG" UGFparent="iNrElegal",BhLd2tAAtuujYgL8,sE3sE143,AVoVS18aD7fSCihG,iNrElegal,3,sE,3sE143
9. Updating the License:, FID="BkrQknqwla0vZTCG" UGFLinkReference="sE3sE144" FIDparent="AVoVS18aD7fSCihG" UGFparent="iNrElegal",BkrQknqwla0vZTCG,sE3sE144,AVoVS18aD7fSCihG,iNrElegal,3,sE,3sE144
10. Copy of this License:, FID="BlmJmlsCMT9lD6nt" UGFLinkReference="sE3sE145" FIDparent="AVoVS18aD7fSCihG" UGFparent="iNrElegal",BlmJmlsCMT9lD6nt,sE3sE145,AVoVS18aD7fSCihG,iNrElegal,3,sE,3sE145
